index,ID,Region,Main Source of Income,Agricultural Household indicator,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Walls,House Floor Area,House Age,Number of bedrooms,Electricity,Total Household Income,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
20593,4060,H,Wage/Salaries,0.0,Male,40.0,Married,Worked for private establishment,Single Family,4.0,0.0,2.0,3.0,Single house,Strong,40.0,35.0,2.0,1.0,339702.0,130932.0,24466.0,19236.0,15981.0,11268.0,1960.0,,,,,2300.0,37122.0,24000.0,1365.0,11922.0,,450.0,5766.0,5300.0,0.0,41852.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
24656,1420,J,Enterpreneurial Activities,0.0,Male,41.0,Married,Self-employed wihout any employee,Single Family,3.0,0.0,1.0,0.0,Single house,Strong,47.0,9.0,2.0,1.0,339700.0,81663.0,20190.0,13754.0,7374.0,7908.0,2043.0,3957.0,22020.0,900.0,0.0,4077.0,45366.0,27000.0,710.0,6828.0,2388.0,450.0,9606.0,,0.0,,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,3.0,0.0,,0.0,0.0
15685,1371,G,Other sources of Income,0.0,Male,44.0,Married,Self-employed wihout any employee,Extended Family,7.0,,1.0,2.0,Single house,Strong,54.0,22.0,3.0,1.0,339663.0,86513.0,17064.0,14040.0,10320.0,11137.0,935.0,5423.0,20100.0,0.0,0.0,,30180.0,13500.0,1115.0,4899.0,1140.0,,,,0.0,12083.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,
25870,747,K,Other sources of Income,0.0,Female,76.0,Widowed,,Extended Family,5.0,0.0,2.0,1.0,Single house,Strong,60.0,3.0,3.0,1.0,339660.0,121384.0,32479.0,22880.0,15537.0,,2150.0,5757.0,13438.0,0.0,0.0,5506.0,50976.0,27000.0,710.0,8052.0,3360.0,2191.0,5766.0,,0.0,11636.5,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0
32726,472,N,Wage/Salaries,0.0,Male,58.0,Married,Worked for private establishment,Single Family,,0.0,0.0,2.0,Single house,Quite Strong,20.0,,1.0,1.0,339660.0,134928.0,25880.0,15928.0,6343.0,16366.0,1205.0,5363.0,,,,6485.0,,9000.0,,,3960.0,0.0,9060.0,4000.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0
38296,663,P,Other sources of Income,0.0,Female,50.0,Married,,Single Family,4.0,0.0,2.0,1.0,Single house,Strong,36.0,22.0,2.0,1.0,339640.0,116843.0,29292.0,24709.0,6343.0,14519.0,1620.0,5020.0,18600.0,0.0,0.0,5425.0,50706.0,27000.0,,4899.0,2502.0,,5766.0,1000.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,,,,,0.0,
12961,1884,F,Other sources of Income,0.0,Female,70.0,Widowed,,Extended Family,4.0,0.0,0.0,1.0,Single house,Strong,,10.0,,1.0,339640.0,82759.0,27508.0,18000.0,16917.0,13368.0,2330.0,3105.0,6973.0,90.0,,2300.0,,,210.0,15114.0,,,13974.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,3.0,,,0.0,
34127,1873,N,Wage/Salaries,,Female,59.0,Married,Worked for private household,Single Family,5.0,0.0,1.0,3.0,Single house,Strong,50.0,17.0,2.0,1.0,339600.0,89697.0,29205.0,23590.0,13681.0,7299.0,2423.0,3988.0,13840.0,520.0,0.0,1110.0,43320.0,9000.0,710.0,15732.0,1896.0,300.0,3516.0,0.0,0.0,64800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0
2946,1222,B,Wage/Salaries,0.0,Male,56.0,Married,Self-employed wihout any employee,Extended Family,,0.0,2.0,,Single house,Strong,80.0,33.0,3.0,1.0,339573.0,81222.0,26948.0,23337.0,5196.0,8080.0,1625.0,5204.0,1365.0,774.0,,2780.0,27306.0,12000.0,466.0,4650.0,2046.0,1710.0,5088.0,4500.0,,11636.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
1939,215,B,Other sources of Income,0.0,Female,37.0,Married,Self-employed wihout any employee,Extended Family,7.0,0.0,4.0,0.0,Single house,Strong,75.0,15.0,1.0,1.0,339570.0,68967.0,,,,6654.0,2922.0,4721.0,9000.0,129.0,0.0,,,,322.0,11580.0,,450.0,12360.0,0.0,0.0,6500.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,5.0,,,0.0,
832,833,A,Other sources of Income,0.0,Male,50.0,Widowed,Self-employed wihout any employee,Extended Family,4.0,0.0,0.0,0.0,Duplex,Strong,36.0,19.0,3.0,1.0,339520.0,64099.0,15671.0,9300.0,11756.0,6192.0,1620.0,,1700.0,650.0,0.0,5650.0,41100.0,9000.0,740.0,13962.0,480.0,0.0,2400.0,5500.0,,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0
11324,247,F,Enterpreneurial Activities,0.0,Male,59.0,Married,Employer in own family-operated farm or business,Extended Family,8.0,0.0,2.0,1.0,Single house,Strong,80.0,30.0,2.0,1.0,339519.0,,,,6343.0,,1620.0,,13707.0,420.0,0.0,,19848.0,9000.0,,,2472.0,1580.0,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
11676,599,F,Other sources of Income,0.0,Male,49.0,Married,,Extended Family,,0.0,,0.0,Multi-unit residential,Strong,42.0,10.0,2.0,1.0,339500.0,,31253.0,20190.0,,16749.0,1620.0,,,0.0,0.0,,19848.0,27000.0,190.0,4899.0,,,,2620.0,0.0,11636.5,2.0,,0.0,1.0,1.0,0.0,0.0,0.0,5.0,,,0.0,0.0
18228,1695,H,Wage/Salaries,0.0,Female,30.0,Married,Worked for private establishment,Single Family,3.0,0.0,1.0,2.0,Multi-unit residential,Strong,30.0,25.0,1.0,1.0,339500.0,128919.0,15798.0,9516.0,16254.0,7312.0,1935.0,2495.0,5500.0,300.0,0.0,,29862.0,18000.0,,,3456.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0
41031,1276,Q,Other sources of Income,0.0,Female,68.0,Widowed,,Extended Family,3.0,0.0,0.0,2.0,Single house,Strong,,14.0,3.0,1.0,339490.0,91018.0,24975.0,20830.0,11996.0,9546.0,1620.0,8440.0,13650.0,0.0,0.0,5216.0,53730.0,9000.0,,14862.0,,,12786.0,,0.0,0.0,2.0,1.0,,1.0,0.0,0.0,0.0,0.0,3.0,,,0.0,0.0
39242,1609,P,Wage/Salaries,0.0,Male,32.0,Married,Self-employed wihout any employee,Single Family,3.0,0.0,1.0,1.0,Single house,Strong,32.0,20.0,2.0,1.0,339378.0,66796.0,18112.0,14520.0,9084.0,12126.0,1900.0,2570.0,2580.0,1170.0,832.0,5882.0,19848.0,12000.0,2817.0,15516.0,1080.0,905.0,,,,29730.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,
31817,1911,M,Enterpreneurial Activities,0.0,Male,53.0,Married,Self-employed wihout any employee,Single Family,2.0,0.0,0.0,0.0,Single house,Strong,36.0,,2.0,1.0,339377.0,58447.0,12521.0,7860.0,7613.0,6437.0,,5293.0,3900.0,0.0,0.0,2300.0,33588.0,18000.0,,2880.0,1140.0,0.0,5766.0,1000.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30614,708,M,Other sources of Income,0.0,Female,64.0,Widowed,Self-employed wihout any employee,Extended Family,6.0,0.0,1.0,1.0,Single house,Strong,36.0,30.0,2.0,1.0,339370.0,,42320.0,30000.0,,,1620.0,4375.0,11880.0,0.0,800.0,,19848.0,,,,1140.0,1800.0,5766.0,,0.0,9300.0,,1.0,0.0,1.0,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,
35816,3562,N,Wage/Salaries,,Male,50.0,Married,Worked for private establishment,Single Family,4.0,0.0,0.0,2.0,Single house,Strong,30.0,27.0,2.0,1.0,339349.0,68967.0,31579.0,22035.0,5296.0,8015.0,2135.0,2836.0,,90.0,,4850.0,44472.0,24000.0,594.0,,1140.0,0.0,5766.0,,0.0,23988.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
34969,2715,N,Enterpreneurial Activities,,Female,65.0,Married,Self-employed wihout any employee,Single Family,2.0,0.0,0.0,0.0,Single house,Strong,36.0,15.0,1.0,1.0,339317.0,56809.0,8876.0,5268.0,5608.0,9044.0,2275.0,4338.0,12736.0,720.0,0.0,2300.0,,,,4899.0,,0.0,8100.0,1000.0,0.0,,1.0,1.0,,1.0,1.0,0.0,,,1.0,0.0,,0.0,0.0
38316,683,P,Wage/Salaries,0.0,Male,39.0,Married,Worked for private establishment,Extended Family,5.0,0.0,2.0,2.0,Single house,Strong,36.0,24.0,,1.0,339314.0,68967.0,,,12826.0,17149.0,3195.0,4410.0,5500.0,0.0,0.0,2300.0,,,2154.0,,1980.0,,5766.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,0.0,0.0,2.0,,0.0,0.0,0.0
18450,1917,H,Wage/Salaries,0.0,Male,56.0,Married,Worked for private establishment,Single Family,3.0,0.0,1.0,2.0,Single house,Strong,40.0,17.0,2.0,1.0,339300.0,55897.0,12263.0,9100.0,7881.0,3141.0,1295.0,1615.0,20880.0,0.0,0.0,6115.0,45282.0,9000.0,710.0,,2598.0,,5766.0,2000.0,0.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0
30132,226,M,Other sources of Income,0.0,Male,59.0,Widowed,Self-employed wihout any employee,Extended Family,5.0,0.0,1.0,4.0,Single house,Strong,70.0,31.0,,1.0,339236.0,118633.0,32032.0,11400.0,6343.0,6560.0,2494.0,5585.0,5500.0,0.0,0.0,4630.0,19848.0,24000.0,,,,,13692.0,5000.0,0.0,39600.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0
21639,944,I,Wage/Salaries,0.0,Male,61.0,Married,Self-employed wihout any employee,Extended Family,6.0,0.0,0.0,2.0,Duplex,Strong,20.0,16.0,1.0,1.0,339207.0,135611.0,,28652.0,9550.0,17127.0,2440.0,3342.0,5500.0,962.0,520.0,2525.0,,,,8736.0,2856.0,0.0,12780.0,0.0,0.0,81254.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21707,1012,I,Enterpreneurial Activities,0.0,Female,55.0,Widowed,,Single Family,3.0,0.0,1.0,1.0,Single house,Strong,80.0,27.0,2.0,1.0,339162.0,128529.0,26521.0,21177.0,4162.0,9020.0,,5683.0,,225.0,0.0,,19848.0,,,3360.0,1140.0,720.0,13410.0,5000.0,0.0,,2.0,1.0,,1.0,1.0,0.0,0.0,0.0,3.0,,,0.0,0.0
24519,1283,J,Wage/Salaries,0.0,Male,56.0,Married,Self-employed wihout any employee,Single Family,4.0,0.0,0.0,1.0,Single house,Strong,25.0,18.0,2.0,1.0,339088.0,86788.0,27456.0,24588.0,11208.0,8457.0,,5278.0,6470.0,252.0,0.0,4610.0,42660.0,21000.0,451.0,12534.0,,350.0,5766.0,3200.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1320,1321,A,Other sources of Income,0.0,Male,77.0,Married,,Extended Family,4.0,0.0,1.0,0.0,Single house,Strong,35.0,4.0,2.0,1.0,339076.0,58332.0,19398.0,15200.0,5510.0,3674.0,930.0,4287.0,5430.0,0.0,0.0,5700.0,37950.0,18000.0,2000.0,1356.0,1056.0,1290.0,2382.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4457,951,C,Enterpreneurial Activities,0.0,Male,44.0,Married,Self-employed wihout any employee,Single Family,7.0,0.0,4.0,2.0,Single house,Light,11.0,1.0,1.0,1.0,338937.0,123842.0,,,5400.0,,1960.0,2545.0,0.0,450.0,,600.0,15354.0,7800.0,0.0,5400.0,480.0,960.0,7602.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
876,877,A,Wage/Salaries,0.0,Male,60.0,Married,,Extended Family,5.0,0.0,0.0,4.0,Single house,Strong,62.0,25.0,,1.0,338858.0,86570.0,24527.0,14100.0,8118.0,5852.0,3832.0,4536.0,11940.0,300.0,0.0,3245.0,19848.0,,,,1680.0,0.0,,3006.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32517,263,N,Wage/Salaries,0.0,Female,64.0,Widowed,Self-employed wihout any employee,Single Family,2.0,0.0,0.0,0.0,Single house,Strong,20.0,,1.0,1.0,338830.0,84847.0,13868.0,11310.0,10465.0,11021.0,560.0,4254.0,5500.0,0.0,0.0,2450.0,52800.0,27000.0,710.0,528.0,660.0,0.0,6342.0,500.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17899,1366,H,Wage/Salaries,0.0,Female,63.0,Widowed,,Extended Family,,0.0,2.0,4.0,Duplex,Strong,50.0,30.0,2.0,1.0,338810.0,,38190.0,15900.0,,7034.0,1295.0,4765.0,,90.0,,4130.0,19848.0,9000.0,2067.0,4899.0,1140.0,,,3500.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
11256,179,F,Other sources of Income,0.0,Male,61.0,Married,Self-employed wihout any employee,Single Family,2.0,0.0,0.0,1.0,Single house,Strong,70.0,24.0,2.0,1.0,338797.0,73157.0,14920.0,8630.0,13995.0,8850.0,2920.0,7547.0,14430.0,,0.0,,19848.0,,824.0,4899.0,2100.0,0.0,6240.0,5000.0,,12000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34979,2725,N,Wage/Salaries,,Male,54.0,Married,Worked for private establishment,Single Family,5.0,0.0,2.0,1.0,Single house,Strong,25.0,38.0,2.0,1.0,338770.0,68967.0,,22444.0,6343.0,12771.0,2515.0,8138.0,5500.0,468.0,,4850.0,19848.0,9000.0,1745.0,16464.0,,450.0,,1735.0,0.0,59950.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
25787,664,K,Wage/Salaries,0.0,Male,29.0,Married,Worked for private establishment,Single Family,4.0,,0.0,2.0,Single house,Strong,40.0,25.0,1.0,1.0,338725.0,131871.0,19437.0,14742.0,17728.0,15663.0,3433.0,3546.0,,0.0,0.0,0.0,50370.0,0.0,2055.0,,,0.0,,5000.0,0.0,0.0,1.0,1.0,,1.0,1.0,,0.0,0.0,2.0,,,0.0,0.0
19112,2579,H,Wage/Salaries,0.0,Male,50.0,Married,Worked for private establishment,Single Family,3.0,0.0,0.0,2.0,Single house,Strong,40.0,15.0,1.0,1.0,338692.0,103442.0,21766.0,14842.0,15930.0,8980.0,1730.0,6565.0,5500.0,1050.0,0.0,2548.0,37680.0,27000.0,1632.0,,3318.0,0.0,5766.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
4895,1389,C,Wage/Salaries,0.0,Male,74.0,Married,,Extended Family,4.0,0.0,1.0,0.0,Single house,Strong,36.0,20.0,3.0,1.0,338676.0,78459.0,26899.0,22927.0,10815.0,13191.0,2490.0,5120.0,0.0,0.0,0.0,2167.0,26580.0,12000.0,1620.0,6360.0,720.0,120.0,5766.0,0.0,,48010.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11319,242,F,Other sources of Income,0.0,Male,72.0,Married,,Extended Family,7.0,0.0,1.0,2.0,Single house,Strong,,7.0,3.0,1.0,338567.0,68967.0,22558.5,30860.0,,8080.0,2265.0,4156.0,20100.0,90.0,0.0,5060.0,19848.0,9000.0,710.0,14940.0,1140.0,1320.0,9672.0,,0.0,4382.0,2.0,1.0,,1.0,1.0,,,0.0,4.0,,0.0,0.0,0.0
23818,582,J,Other sources of Income,0.0,Female,60.0,Divorced/Separated,Worked for private establishment,Extended Family,3.0,0.0,1.0,1.0,Single house,Strong,60.0,10.0,2.0,1.0,338558.0,105599.0,26427.0,22625.0,16534.0,10949.0,3035.0,4750.0,5700.0,0.0,0.0,6420.0,,0.0,710.0,14016.0,,,13236.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,4.0,,0.0,0.0,0.0
333,334,A,Other sources of Income,0.0,Female,43.0,Married,Worked for private establishment,Single Family,4.0,0.0,1.0,4.0,Single house,Strong,60.0,7.0,2.0,1.0,338552.0,85510.0,19732.0,13500.0,11132.0,4238.0,2980.0,5700.0,18960.0,0.0,0.0,,,,3150.0,9234.0,3792.0,1190.0,11142.0,1000.0,0.0,1550.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36134,3880,N,Wage/Salaries,,Female,47.0,Divorced/Separated,,Single Family,5.0,0.0,1.0,2.0,Single house,Strong,25.0,5.0,,1.0,338536.0,,31827.0,21775.0,6343.0,8080.0,1620.0,7834.0,,0.0,0.0,2300.0,37986.0,18000.0,3143.0,16146.0,,1700.0,,1000.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0
33319,1065,N,Enterpreneurial Activities,,Female,44.0,Widowed,Self-employed wihout any employee,Single Family,2.0,0.0,0.0,0.0,Multi-unit residential,Quite Strong,30.0,26.0,1.0,1.0,338520.0,74117.0,16104.0,6760.0,11964.0,4783.0,3530.0,2820.0,20800.0,,0.0,2630.0,35118.0,18000.0,3010.0,7278.0,2082.0,0.0,6276.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34168,1914,N,Wage/Salaries,,Female,35.0,Married,Worked for private establishment,Single Family,5.0,0.0,3.0,2.0,Single house,Strong,80.0,15.0,1.0,1.0,338500.0,,26871.0,17143.0,,15031.0,611.0,4316.0,,940.0,0.0,1200.0,48300.0,9000.0,660.0,11172.0,3906.0,1150.0,,1000.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0
3954,448,C,Enterpreneurial Activities,0.0,Female,65.0,Widowed,Self-employed wihout any employee,Single Family,2.0,0.0,0.0,0.0,Single house,Strong,36.0,17.0,2.0,1.0,338433.0,81336.0,18792.0,12666.0,6815.0,15274.0,,6535.0,5718.0,0.0,0.0,2300.0,34590.0,12000.0,,4998.0,3120.0,0.0,14058.0,,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6547,190,D,Wage/Salaries,0.0,Male,37.0,Married,,Single Family,5.0,0.0,2.0,1.0,Single house,Strong,35.0,16.0,2.0,1.0,338429.0,103304.0,29873.0,20378.0,16031.0,11300.0,3600.0,6448.0,18520.0,,0.0,2300.0,43380.0,9000.0,901.0,4899.0,1140.0,450.0,5766.0,1000.0,0.0,22200.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
7163,806,D,Wage/Salaries,0.0,Male,55.0,Married,Worked for private establishment,Single Family,3.0,0.0,1.0,2.0,Single house,Strong,80.0,19.0,2.0,1.0,338415.0,94520.0,29144.0,25500.0,11613.0,11678.0,2490.0,6010.0,22230.0,720.0,,6270.0,46626.0,18000.0,147.0,15402.0,2184.0,1500.0,,1000.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
32777,523,N,Wage/Salaries,0.0,Male,47.0,Married,Worked for government/government corporation,Extended Family,8.0,0.0,2.0,3.0,Single house,Quite Strong,15.0,,,1.0,338411.0,,41590.0,26960.0,6343.0,,2518.0,,12341.0,570.0,,6275.0,47280.0,0.0,1673.0,16002.0,2982.0,,5766.0,3600.0,0.0,11636.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
514,515,A,Wage/Salaries,0.0,Male,50.0,Married,Worked for private establishment,Single Family,6.0,0.0,1.0,3.0,Single house,Strong,40.0,26.0,3.0,1.0,338375.0,87258.0,36778.0,23750.0,11056.0,5488.0,3360.0,4050.0,12090.0,0.0,,1310.0,,,710.0,14124.0,2466.0,1200.0,4068.0,1812.0,0.0,25010.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0
